COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS
United States,2013-12-21T07:02:00,-77.345,-168.0283,2020-03-09T04:31:40,APEX,Argo,Argo UW-MBARI,5904168,6475,INACTIVE
United States,2015-01-21T00:00:00,-61.0033,0.0017,2020-02-19T01:33:12,APEX,Argo,Argo UW-SOCCOM,5904397,6721,INACTIVE
United States,2014-12-20T00:00:00,-67.1133,0.005,2019-06-07T19:40:28,APEX,Argo,Argo UW-SOCCOM,5904471,6939,INACTIVE
United States,2016-07-01T00:00:00,-60.63,-54.63,2020-04-20T03:31:29,APEX,Argo,Argo UW-SOCCOM,5904660,7295,INACTIVE
United States,2016-01-08T18:36:00,-57.99,-56.51,2020-08-11T10:49:40,APEX,Argo,Argo UW-SOCCOM,5904658,7290,INACTIVE
United States,2016-01-07T19:04:00,-59.64,-55.38,2020-04-30T14:23:47,APEX,Argo,Argo UW-SOCCOM,5904659,7291,INACTIVE
United States,2016-01-23T18:03:00,-62.98,93.64,2017-03-29T08:00:07,NAVIS_A,Argo,Argo UW-SOCCOM,5904670,506,INACTIVE
United States,2016-01-07T01:27:00,-39.45,99.47,2019-12-19T19:04:13,APEX,Argo,Argo UW-SOCCOM,5904675,7450,INACTIVE
United States,2016-03-01T06:48:00,-50.6,90.4,2020-08-23T11:36:40,APEX,Argo,Argo UW-SOCCOM,5904682,7296,INACTIVE
United States,2016-02-24T20:50:00,-57.41,82.36,2020-05-18T13:45:42,NAVIS_A,Argo,Argo UW-SOCCOM,5904686,510,INACTIVE
United States,2016-05-31T15:55:00,-38.12,-171.45,2021-06-05T17:31:33,APEX,Argo,Argo UW-SOCCOM,5904694,7451,INACTIVE
United States,2016-05-13T17:01:00,-57.98,-169.95,2021-02-14T10:31:09,APEX,Argo,Argo UW-SOCCOM,5904695,6942,INACTIVE
United States,2016-05-17T12:35:00,-51.92,-169.91,2020-07-13T05:19:19,APEX,Argo,Argo UW-SOCCOM,5904761,7289,INACTIVE
United States,2016-05-08T19:44:00,-61.92,-169.91,2016-05-09T09:38:02,APEX,Argo,Argo UW-SOCCOM,5904764,7455,CLOSED
United States,2017-01-12T23:18:00,-75.65,-156.98,2022-01-22T01:57:51,APEX,Argo,Argo UW-SOCCOM,5904857,7756,OPERATIONAL
United States,2017-01-06T19:57:00,-35.02,-103.07,2021-11-06T11:24:26,APEX,Argo,Argo UW-SOCCOM,5904843,7332,INACTIVE
United States,2017-02-21T07:51:00,-57.18,-126.31,2021-07-31T07:26:54,APEX,Argo,Argo UW-SOCCOM,5905076,7702,INACTIVE
United States,2017-09-19T00:33:00,-42.98,-9.9267,2022-03-07T18:06:25,APEX,Argo,Argo UW-SOCCOM,5905134,8052,OPERATIONAL
United States,2017-09-22T05:26:00,-32.4817,-84.5467,2022-03-09T04:06:17,APEX,Argo,Argo UW-SOCCOM,5905106,7706,OPERATIONAL
United Kingdom,2017-11-15T14:23:00,-52.705,-40.1067,2022-02-28T01:36:27,APEX,Argo,Argo UK,3901541,8139,OPERATIONAL
United States,2018-01-22T02:18:00,-53.5833,141.93,2020-10-13T18:11:58,APEX,Argo,Argo UW-SOCCOM,5905376,7980,INACTIVE
United States,2018-01-25T15:39:00,-58.3533,139.9283,2022-03-05T17:05:52,APEX,Argo,Argo UW-SOCCOM,5905372,7967,OPERATIONAL
United States,2018-03-26T00:17:00,-67.6167,173.5233,2022-02-25T18:43:15,APEX,Argo,Argo UW-SOCCOM,5905638,7709,OPERATIONAL
United States,2018-04-22T06:34:00,-67.0033,-129.5167,2022-03-07T21:22:44,APEX,Argo,Argo UW-SOCCOM,5905639,7969,OPERATIONAL
United States,2018-08-16T05:35:00,0.0033,-170.1483,2022-03-01T08:13:52,APEX,Argo,Argo UW-TPOS eq.,5905971,7937,OPERATIONAL
United States,2018-10-18T13:52:00,-27.2083,-28.3133,2021-02-21T11:20:52,APEX,Argo,Argo UW-SOCCOM,5905980,7935,INACTIVE
United States,2018-08-16T02:55:00,50.1917,-144.6317,2022-03-04T23:50:26,NAVIS_A,Argo,Argo UW-MBARI,5905988,0949,OPERATIONAL
United States,2019-01-03T06:21:00,-64.4333,120.25,2019-08-04T01:50:24,APEX,Argo,Argo UW-SOCCOM,5906001,8297,INACTIVE
United States,2019-01-06T04:29:00,-69.0367,-6.9317,2020-02-12T04:43:30,APEX,Argo,Argo UW-SOCCOM,5905993,8358,INACTIVE
United States,2019-01-23T19:20:00,-65.745,-36.8417,2022-03-02T07:08:34,APEX,Argo,Argo UW-SOCCOM,5905994,8304,OPERATIONAL
European Union,2019-04-16T11:40:00,43.4,7.83,2021-07-02T07:42:12,PROVOR_III,Argo,LOV_ATLANTOS,6902969,,INACTIVE
United States,2019-04-20T09:50:00,-63.0267,29.9967,2022-03-09T06:47:25,APEX,Argo,Argo UW-SOCCOM,5906034,8364,OPERATIONAL
United States,2019-05-09T16:29:00,-33.74,28.4217,2022-03-07T00:11:40,NAVIS_A,Argo,Argo UW-SOCCOM,5906035,0888,OPERATIONAL
United States,2019-10-07T06:34:00,5.0067,-139.9183,2022-03-08T07:31:49,APEX,Argo,Argo UW-TPOS eq.,5906043,8334,OPERATIONAL
United States,2020-01-06T12:09:00,-55.14,-83.3,2021-01-01T15:43:38,APEX,Argo,Argo UW-SOCCOM,5906215,8726,INACTIVE
European Union,2021-03-12T17:07:00,-6.0559,-10.0057,2022-03-08T12:46:00,PROVOR_III,Argo,EuroSea Argo,6903875,P43200-20EU005,OPERATIONAL
United States,2020-03-24T23:20:00,-41.4267,2.9267,2021-11-16T16:44:11,APEX,Argo,Argo UW-SOCCOM,5906247,8735,INACTIVE
United States,2020-03-26T20:11:00,-35.56,1.13,2022-03-05T21:45:54,APEX,Argo,Argo UW-SOCCOM,5906246,8825,OPERATIONAL
Japan,2021-06-16T05:05:00,30.0588,165.0077,2022-03-04T05:37:10,APEX,Argo,Argo eq. JAMSTEC,2903657,9020,OPERATIONAL
United States,2020-10-18T19:18:00,35.445,-123.0083,2022-03-04T03:46:06,APEX,Argo,Argo UW-SOCCOM,5906294,8919,OPERATIONAL
Germany,2021-07-30T18:32:00,49.2389,-41.6295,2022-03-09T11:13:00,PROVOR_IV,Argo,Argo GERMANY 2025,6904112,P43200-20DE105,OPERATIONAL
