                                                                                                                                                                                                                                                                ,381
"1-point multiplicative correction using WOD at 1008.49 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                              ",1
"1-point multiplicative correction using WOD at 1269.58 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                              ",1
"1-point multiplicative correction using WOD at 1792.895 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                             ",1
"1-point multiplicative correction using WOD at 1794.35 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                              ",1
"1-point multiplicative correction using WOD at 1795.3 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                               ",1
"1-point multiplicative correction using WOD at 1795.5 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                               ",1
"1-point multiplicative correction using WOD at 1795.6 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                               ",1
"1-point multiplicative correction using WOD at 1797.7 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                               ",1
"1-point multiplicative correction using WOD at 1799.1 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                               ",1
"1-point multiplicative correction using WOD at 1799.2 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                               ",1
"1-point multiplicative correction using WOD at 1799.4 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                               ",1
"1-point multiplicative correction using WOD at 1800 dbar. The quoted error was computed via comparisons with monthly or annual climatology data, interpolated to float location, depth, and season, from WOA09.                                                 ",26
Adjust with WOA monthly climatology                                                                                                                                                                                                                             ,1
Adjusted PPOX at zero for the minimum and estimate the gain with Annual WOA2018 (OMZ)                                                                                                                                                                           ,3
Adjusted PPOX at zero for the minimum and estimate the gain with Monthly WOA2018 (OMZ)                                                                                                                                                                          ,14
"Adjusted on CTD at deployment, optode simple calibration                                                                                                                                                                                                        ",4
Adjusted on WOA annual climatology at surface                                                                                                                                                                                                                   ,1
Adjusted on WOA monthly climatology at surface                                                                                                                                                                                                                  ,12
Adjusted on WOA with SageO2                                                                                                                                                                                                                                     ,1
Adjusted on WOA2018 with SageO2                                                                                                                                                                                                                                 ,1
Adjusted on monthly WOA climatology                                                                                                                                                                                                                             ,1
Adjusted with SAGEO2 based on WOA climatology                                                                                                                                                                                                                   ,6
Adjusted with SAGEO2 on WOA                                                                                                                                                                                                                                     ,3
Adjusted with SAGEO2 using continuous in-air measurements                                                                                                                                                                                                       ,1
"Adjusted with SAGEO2 with in-air measurements (Johnson et al., 2015)                                                                                                                                                                                            ",12
"Adjusted with SAGEO2, based on WOA climatology                                                                                                                                                                                                                  ",1
"Adjusted with SageO2, based on WOA climatology                                                                                                                                                                                                                  ",1
"Adjusted with WOA 2018 monthly climatology , simple calibration                                                                                                                                                                                                 ",1
"Adjusted with WOA at surface, simple calibration                                                                                                                                                                                                                ",2
"Adjusted with WOA climatology, optode simple calibration                                                                                                                                                                                                        ",1
Adjusted with annual WOA 2018 at surface                                                                                                                                                                                                                        ,1
Adjusted with in-air measurements with SAGE-O2                                                                                                                                                                                                                  ,1
Adjusted with in-air measurements with SAGEO2                                                                                                                                                                                                                   ,1
Adjusted with monthly WOA2018 at surface                                                                                                                                                                                                                        ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between Argo cycle 1 and reference profile ov18_d_101                                                                                                           ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between Argo cycle 1 and reference profile ov18_d_102/                                                                                                          ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between Argo cycle 1 and reference profile ov18_d_49/                                                                                                           ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between Argo cycle 1 and reference profile ov18_d_81/                                                                                                           ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between Argo cycle 11 and reference profile rr17_115/                                                                                                           ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between Argo cycle 3 and reference profile ov18_d_61/                                                                                                           ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between Argo cycle 7 and reference profile rr17_82/                                                                                                             ,1
"Adjustment done on PPOX_DOXY;Temporal drift estimated from NCEP data - Gain based on comparison between in-air measurements and NCEP, with carry over                                                                                                           ",1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 1 and reference profile bo16_72/                                                                                            ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 1 and reference profile bo16_78/                                                                                            ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 1 and reference profile cat12_74/                                                                                           ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 1 and reference profile ov18_d_77/                                                                                          ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 1 and reference profile rr15_32                                                                                             ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 1 and reference profile rr17_37                                                                                             ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 107 and reference profile ovid21_25/                                                                                        ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 2 and reference profile ov18_d_105/                                                                                         ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 3 and reference profile cat12_57                                                                                            ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 62   1 and reference profile rr17_1/rr15_20/                                                                                ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 68   69   71   72  148   11   12 and reference profile geov_39/geov_39/geov_39/geov_39/bo16_85/cat12_60/cat12_60/           ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 75 and reference profile geov_17/                                                                                           ,1
Adjustment done on PPOX_DOXY;Temporal drift estimated from WOA climatology at surface - Gain based on comparison between Argo cycle 75 and reference profile rr17_106                                                                                           ,1
Adjustment via comparison of float surface O2sat to WOA2018 surface O2sat using automatically generated gain from MBARI (jplant@mbari.org). All profiles individually inspected and compared against WOA2018 for accuracy                                       ,16
Bad data; not adjustable                                                                                                                                                                                                                                        ,94
Bad profile                                                                                                                                                                                                                                                     ,1
Biofouling                                                                                                                                                                                                                                                      ,1
Biofouling detected                                                                                                                                                                                                                                             ,2
Bittig et al. (2021); float in-air data vs. NCEP reanalysis                                                                                                                                                                                                     ,4
CTD issues and float issues                                                                                                                                                                                                                                     ,1
"CTD issues, no adjustment performed                                                                                                                                                                                                                             ",1
"DOXY_ADJUSTED computed using Stern-Volmer equation with coeffs refit from foil calibration data & WOD data as in Drucker & Riser (2016). The quoted error was computed via comparisons with WOA09 data, interpolated to float location, depth, and season.      ",47
DOXY_ADJUSTED corrected based on the WOA 2018 climatology as described in Johnson et al. (2015)                                                                                                                                                                 ,71
DOXY_ADJUSTED corrected using continuous in-air measurements as in Johnson et al. (2015)                                                                                                                                                                        ,69
"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to WOA PSAT climatology or WOA PPOX in using PSATWOA and TEMP and PSALfloat at 1 atm, DOXY_ADJUSTED_ERROR is computed from a PPOX_ERROR of 10 mbar    ",7
"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to woaPSAT climatology or WOA PPOX in using woaPSAT and floatTEMP and PSAL at 1 atm, DOXY_ADJUSTED_ERROR is computed from a PPOX_ERROR of 10 mbar     ",73
"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to woaPSAT climatology or WOA PPOX in using woaPSAT and floatTEMP and PSAL at 1 atm, DOXY_ADJUSTED_ERROR is computed from a PPOX_ERROR of 11.3 mbar   ",1
"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to woaPSAT climatology or WOA PPOX in using woaPSAT and floatTEMP and PSAL at 1 atm, DOXY_ADJUSTED_ERROR is computed from a PPOX_ERROR of 13.6 mbar   ",1
"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to woaPSAT climatology or woaPPOX{woaPSAT,floatTEMP,floatPSAL} at 1 atm, DOXY_ADJUSTED_ERROR is computed from a PPOX_ERROR of 10 mbar +1mb/year       ",96
"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to woaPSAT climatology or woaPPOX{woaPSAT,floatTEMP,floatPSAL} at 1 atm, DOXY_ADJUSTED_ERROR is computed from a PPOX_ERROR of 10.0 mbar +1mb/year     ",37
"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to woaPSAT climatology or woaPPOX{woaPSAT,floatTEMP,floatPSAL} at 1 atm, DOXY_ADJUSTED_ERROR is computed from a PPOX_ERROR of 25 mbar +1mb/year       ",1
"DOXY_ADJUSTED is computed from an adjustment of in water PSAT or PPOX float data at surface by comparison to woaPSAT climatology or woaPPOX{woaPSAT,floatTEMP,floatPSAL} at 1 atm, DOXY_ADJUSTED_ERROR is computed from a PPOX_ERROR of 25.0 mbar +1mb/year     ",1
"DOXY_ADJUSTED is estimated from an adjustment of in air PPOX float data by comparison to NCEP reanalysis, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 10 mbar                                                                                         ",17
"DOXY_ADJUSTED is estimated from an adjustment of in air PPOX float data by comparison to NCEP reanalysis, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 10 mbar.                                                                                        ",1
"DOXY_ADJUSTED is estimated from an adjustment of in air PPOX float data by comparison to NCEP reanalysis, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 3 mbar                                                                                          ",1
"DOXY_ADJUSTED is estimated from an adjustment of in air PPOX float data by comparison to NCEP reanalysis, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 5 mbar                                                                                          ",1
"DOXY_ADJUSTED is estimated from an adjustment of in water PPOX float data at surface by comparison to WOA2018 PPOX {woaPSAT, floatTEMP, floatPSAL} at 1 atm; DOXY_ADJUSTED_ERROR recomputed from a PPOX_DOXY_ERROR = 10 mbar increasing by 1 mbar per year      ",96
"DOXY_ADJUSTED is estimated from an adjustment of in water PSAT or PPOX float data at surface by comparison to WOA PSAT climatology or WOA PPOX in using PSATWOA and TEMP and PSALfloat at 1 atm, DOXY_ADJUSTED_ERROR is estimated from a PPOX_ERROR of 10 mbar. ",34
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment that includes a refined pressure correction coefficient, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 7.2 mbar with an increase of 1mbar/year                                  ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment that includes a refined pressure correction coefficient, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 7.5 mbar with an increase of 1mbar/year                                  ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 10.3 mbar with an increase of 1mbar/year                                                                                         ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 10.7 mbar with an increase of 1mbar/year                                                                                         ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 13.5 mbar with an increase of 1mbar/year                                                                                         ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 3.5 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 4.2 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 4.6 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 5.1 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 5.2 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 5.4 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 7.6 mbar with an increase of 1mbar/year                                                                                          ",2
